noise_rewards,perturbation_rewards
-7771.35717763557,-8028.335492208522
-8143.257227747064,-4435.307902269962
-7734.007271549616,-8074.779465743602
-3810.636479846819,-4780.44018320255
-7537.62032830589,-4700.406524169721
-7860.23039543095,-8170.175404056362
-7623.68577070916,-7632.930530077776
-3578.4920655871065,-7615.139319525673
-6910.974138926724,-7828.289031666198
-6876.831676405635,-8111.588311312943
