noise_rewards,perturbation_rewards
-3174.935952158228,0.0
-3169.360647190317,0.0
-3167.7534786737933,0.0
-3171.770365917456,0.0
-3167.9302714428118,0.0
-3174.8943447190354,0.0
-3179.042609118807,0.0
-3164.992426409023,0.0
-3170.3360077552543,0.0
-3172.130609691755,0.0
